customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
FF22360,Unknow,Unknow,Doctor,0,82210,68,4,Personal Auto,Unknow,51
LM19287,Unknow,Unknow,High School or Below,0,0,96,0,Personal Auto,Unknow,460
ZU18643,Unknow,Unknow,Bachelor,0,64495,92,0,Corporate Auto,Unknow,251
AZ82578,Unknow,Unknow,College,0,0,72,0,Corporate Auto,Unknow,345
XC67861,Unknow,Unknow,Bachelor,0,28859,67,3,Corporate Auto,Unknow,321
YC43143,Unknow,Unknow,High School or Below,0,77330,99,0,Personal Auto,Unknow,99
EK59571,Unknow,Unknow,College,0,0,105,0,Corporate Auto,Unknow,504
PA38372,Unknow,Unknow,High School or Below,0,33060,117,0,Personal Auto,Unknow,56
RO18530,Unknow,Unknow,Master,0,42557,65,0,Personal Auto,Unknow,57
PD27940,Unknow,Unknow,High School or Below,0,26372,126,0,Personal Auto,Unknow,604
BS77946,Unknow,Unknow,Bachelor,0,17514,127,0,Personal Auto,Unknow,8
YM50253,Unknow,F,Bachelor,0,89270,74,0,Personal Auto,Unknow,316
NR15332,Unknow,Unknow,High School or Below,0,29757,65,0,Personal Auto,Unknow,312
RC62865,Unknow,Unknow,College,0,51814,92,0,Personal Auto,Unknow,56
CC15295,Unknow,Unknow,Bachelor,0,24028,82,0,Personal Auto,Unknow,393
KA61892,Unknow,Unknow,College,0,28142,105,0,Personal Auto,Luxury,701
OS94884,Unknow,Unknow,Bachelor,0,52705,64,1,Personal Auto,Unknow,128
ND87334,Unknow,Unknow,High School or Below,0,0,63,0,Corporate Auto,Unknow,679
OY51402,Unknow,Unknow,High School or Below,0,54040,103,0,Personal Auto,Unknow,59
YL74911,Unknow,Unknow,College,0,0,118,0,Personal Auto,Unknow,566
GK92563,Unknow,Unknow,Doctor,0,22492,85,0,Personal Auto,Unknow,61
HL53154,Unknow,Unknow,Bachelor,0,0,77,2,Personal Auto,Unknow,554
RI78966,Unknow,Unknow,Master,0,21876,68,0,Personal Auto,Unknow,465
IC13702,Unknow,Unknow,Bachelor,0,0,69,1,Personal Auto,Unknow,496
BE10809,Unknow,Unknow,High School or Below,0,0,61,1,Personal Auto,Unknow,292
HT87217,Unknow,Unknow,High School or Below,0,70699,82,0,Personal Auto,Unknow,256
TH95618,Unknow,Unknow,High School or Below,0,0,74,1,Personal Auto,Unknow,355
TS19868,Unknow,Unknow,College,0,27501,63,0,Personal Auto,Unknow,542
LP45550,Unknow,Unknow,Doctor,0,15897,101,0,Personal Auto,Unknow,303
QR87004,Unknow,Unknow,College,0,25141,73,1,Personal Auto,Unknow,25
OE75747,Unknow,Unknow,College,0,0,61,3,Personal Auto,Unknow,292
DX91392,Unknow,Unknow,High School or Below,0,51066,74,0,Personal Auto,Unknow,787
AB72731,Unknow,Unknow,Bachelor,0,28358,117,0,Personal Auto,Luxury,84
GX84338,Unknow,Unknow,Doctor,0,62530,95,0,Personal Auto,Unknow,61
IS12901,Unknow,Unknow,Bachelor,0,90972,74,0,Personal Auto,Unknow,232
BN90616,Unknow,Unknow,Bachelor,0,63110,72,0,Personal Auto,Unknow,68
HH90090,Unknow,Unknow,Bachelor,0,29549,104,0,Personal Auto,Luxury,710
IU25463,Unknow,Unknow,Bachelor,0,0,115,1,Personal Auto,Unknow,552
KC11055,Unknow,Unknow,Bachelor,0,39411,217,2,Personal Auto,Luxury,1122
PD33979,Unknow,Unknow,High School or Below,0,21709,62,0,Personal Auto,Unknow,408
NK71023,Unknow,Unknow,Bachelor,0,67890,85,0,Personal Auto,Unknow,408
AB13432,Unknow,Unknow,Bachelor,0,0,110,0,Personal Auto,Unknow,792
OZ97704,Unknow,Unknow,High School or Below,0,84311,111,4,Personal Auto,Unknow,532
UF46533,Unknow,Unknow,College,0,99316,114,0,Corporate Auto,Unknow,754
XP47431,Unknow,Unknow,Bachelor,0,54507,138,0,Personal Auto,Unknow,702
GK73582,Unknow,Unknow,Bachelor,0,64586,76,0,Personal Auto,Unknow,206
RV98763,Unknow,Unknow,College,0,61709,82,2,Personal Auto,Unknow,275
II62831,Unknow,Unknow,Master,0,94656,111,1,Special Auto,Unknow,459
XK33449,Unknow,Unknow,High School or Below,0,0,69,0,Special Auto,Unknow,496
TR85083,Unknow,Unknow,Bachelor,0,61085,70,1,Personal Auto,Unknow,336
EO95328,Unknow,Unknow,Bachelor,0,89284,67,3,Personal Auto,Unknow,321
EN21086,Unknow,Unknow,High School or Below,0,0,63,0,Personal Auto,Unknow,302
YL83902,Washington,Unknow,Bachelor,0,31686,81,0,Personal Auto,Unknow,430
AZ62651,Unknow,Unknow,High School or Below,0,56855,255,0,Corporate Auto,Luxury,1836
ZW25874,Unknow,Unknow,Bachelor,0,53703,67,2,Special Auto,Unknow,67
EH41854,Washington,Unknow,High School or Below,0,0,96,1,Personal Auto,Unknow,844
MW70227,Unknow,Unknow,College,0,20396,76,1,Personal Auto,Unknow,364
SL22297,Unknow,Unknow,Master,0,27679,150,0,Personal Auto,Unknow,722
RV14138,Unknow,Unknow,Bachelor,0,23904,123,3,Personal Auto,Unknow,590
UO62808,Unknow,Unknow,High School or Below,0,65351,69,0,Corporate Auto,Unknow,481
ZX64745,Unknow,Unknow,College,0,0,113,0,Personal Auto,Unknow,1124
FL34139,Unknow,Unknow,High School or Below,0,0,63,3,Personal Auto,Unknow,669
TS11219,Unknow,Unknow,College,0,0,116,0,Personal Auto,Unknow,1284
XX12304,Unknow,Unknow,College,0,64459,72,0,Personal Auto,Unknow,240
SD64087,Unknow,Unknow,College,0,32961,190,0,Corporate Auto,Unknow,912
OY38576,Unknow,Unknow,High School or Below,0,71416,116,0,Corporate Auto,Unknow,556
BG76355,Washington,Unknow,Bachelor,0,68964,78,0,Personal Auto,Unknow,115
IP66913,California,Unknow,High School or Below,0,78108,98,0,Personal Auto,Unknow,470
LE95702,California,Unknow,College,0,10621,67,0,Special Auto,Unknow,321
KX54357,Washington,Unknow,College,0,84910,95,0,Corporate Auto,Unknow,383
EZ78112,California,F,High School or Below,0,77493,70,0,Special Auto,Unknow,307
XN16891,Unknow,Unknow,College,0,81097,74,0,Personal Auto,Unknow,355
XK31350,Unknow,F,College,0,96610,85,0,Corporate Auto,Unknow,520
CC30924,Unknow,Unknow,College,0,30110,159,0,Corporate Auto,Luxury,466
IT78748,Unknow,F,High School or Below,0,22081,84,0,Special Auto,Unknow,451
KY33386,Washington,F,High School or Below,0,0,112,0,Personal Auto,Luxury,537
CO44221,California,Unknow,College,0,98473,72,0,Personal Auto,Unknow,345
LK60013,Unknow,F,Bachelor,0,97431,74,0,Personal Auto,Unknow,355
DE21533,California,Unknow,Bachelor,0,93870,69,0,Personal Auto,Unknow,331
YS94121,Unknow,Unknow,High School or Below,0,50366,72,0,Personal Auto,Unknow,428
UK68427,Washington,Unknow,High School or Below,0,34498,83,0,Personal Auto,Unknow,398
TE49565,Unknow,F,College,0,16552,103,0,Personal Auto,Unknow,494
RA88421,Unknow,F,College,0,26787,77,0,Personal Auto,Unknow,369
KQ51983,Unknow,Unknow,College,0,0,74,0,Personal Auto,Unknow,831
CD88896,Unknow,F,High School or Below,0,43860,65,0,Corporate Auto,Unknow,156
YV22553,Unknow,Unknow,High School or Below,0,21474,114,2,Corporate Auto,Unknow,373
WU14435,California,Unknow,Bachelor,0,18174,66,0,Corporate Auto,Unknow,395
XV84099,Unknow,F,Bachelor,0,0,73,0,Corporate Auto,Unknow,350
RI24911,Unknow,M,College,0,60920,64,0,Personal Auto,Unknow,231
KO26461,Unknow,M,High School or Below,0,41520,90,0,Personal Auto,Unknow,289
HI14283,Unknow,F,Bachelor,0,0,152,0,Personal Auto,Unknow,729
PT50227,Unknow,M,High School or Below,0,0,68,0,Personal Auto,Unknow,326
BH36570,California,M,Bachelor,0,72208,73,0,Personal Auto,Unknow,350
TX17484,California,F,Bachelor,0,53863,63,0,Personal Auto,Unknow,105
CT41158,Washington,M,College,0,66446,136,0,Corporate Auto,Unknow,639
AO87348,Washington,M,College,0,0,61,0,Personal Auto,Unknow,292
DE55857,Washington,F,Bachelor,0,64997,63,1,Personal Auto,Unknow,383
LF66923,Unknow,F,High School or Below,0,64460,66,0,Corporate Auto,Unknow,316
CN24514,Unknow,F,College,0,46618,67,0,Personal Auto,Unknow,99
UW32074,Unknow,F,College,0,0,64,0,Corporate Auto,Unknow,307
HP36979,California,M,College,0,49988,84,5,Personal Auto,Unknow,566
PP40919,California,F,College,0,0,91,5,Personal Auto,Unknow,436
RO73268,California,Unknow,Bachelor,0,16269,86,0,Corporate Auto,Unknow,412
HO61691,Unknow,Unknow,Bachelor,0,72006,64,0,Personal Auto,Unknow,307
BS13062,Unknow,Unknow,High School or Below,0,0,81,2,Personal Auto,Unknow,388
FO35655,Unknow,Unknow,Bachelor,0,0,245,0,Corporate Auto,Luxury,2345
HR10526,California,Unknow,Master,0,44320,67,0,Personal Auto,Unknow,321
IA63417,Unknow,Unknow,High School or Below,0,19782,108,0,Personal Auto,Unknow,773
BH35016,Unknow,Unknow,Bachelor,0,63933,70,0,Personal Auto,Unknow,424
PK52952,Unknow,Unknow,Doctor,0,28224,109,0,Personal Auto,Unknow,523
OD76309,Washington,Unknow,College,0,21073,106,1,Personal Auto,Unknow,508
IL28481,Unknow,Unknow,Bachelor,0,63243,77,0,Personal Auto,Unknow,364
GY55092,Unknow,Unknow,High School or Below,0,20993,133,0,Personal Auto,Unknow,638
UF33451,Unknow,Unknow,Bachelor,0,94827,135,0,Personal Auto,Unknow,354
CF15558,California,Unknow,Master,0,39161,63,1,Personal Auto,Unknow,283
JM62924,Washington,Unknow,Bachelor,0,37534,84,2,Personal Auto,Unknow,403
EM66435,Unknow,Unknow,Bachelor,0,80210,65,0,Corporate Auto,Unknow,20
QX45933,California,Unknow,Bachelor,0,0,62,0,Personal Auto,Unknow,385
JI71369,California,Unknow,College,0,30110,64,0,Personal Auto,Unknow,140
JU93290,Unknow,Unknow,College,0,21708,68,0,Personal Auto,Unknow,326
GU66096,Unknow,Unknow,High School or Below,0,94731,67,0,Personal Auto,Unknow,321
UC33108,California,Unknow,Bachelor,0,32375,83,0,Personal Auto,Unknow,398
LW93867,Unknow,Unknow,College,0,16531,63,0,Corporate Auto,Unknow,102
OU78470,Unknow,Unknow,Master,0,32006,94,0,Corporate Auto,Unknow,56
XW90265,Unknow,Unknow,Bachelor,0,81676,72,0,Personal Auto,Unknow,463
HS67749,California,Unknow,College,0,71038,86,0,Corporate Auto,Unknow,205
VZ51506,Unknow,Unknow,High School or Below,0,0,103,0,Corporate Auto,Luxury,741
UI64281,Unknow,Unknow,Master,0,20832,65,0,Personal Auto,Unknow,56
AE98193,Washington,Unknow,High School or Below,0,0,113,0,Personal Auto,Unknow,813
AZ74055,Unknow,Unknow,High School or Below,0,52405,103,0,Personal Auto,Unknow,494
XS76911,Unknow,Unknow,High School or Below,0,0,133,0,Personal Auto,Luxury,795
AY40674,Washington,Unknow,Bachelor,0,26583,1005,4,Personal Auto,Unknow,614
NA12740,Unknow,Unknow,Master,0,25486,65,0,Special Auto,Unknow,72
UA84837,Unknow,Unknow,College,0,24065,111,0,Corporate Auto,Unknow,532
DJ51510,Unknow,Unknow,High School or Below,0,70435,116,0,Personal Auto,Unknow,67
VM58985,California,Unknow,College,0,0,76,2,Personal Auto,Unknow,402
OH60605,Unknow,Unknow,High School or Below,0,39679,92,0,Personal Auto,Unknow,641
UO98052,Unknow,Unknow,College,0,0,89,0,Personal Auto,Unknow,342
NC53424,California,Unknow,Bachelor,0,0,69,4,Personal Auto,Unknow,331
LQ13873,Unknow,Unknow,High School or Below,0,53565,71,1,Personal Auto,Unknow,340
LA97014,Washington,Unknow,Bachelor,0,37574,66,1,Personal Auto,Unknow,412
NB79936,Washington,Unknow,Bachelor,0,48259,108,0,Personal Auto,Unknow,73
NT89061,Unknow,Unknow,High School or Below,0,78532,78,0,Personal Auto,Unknow,374
AF10970,Unknow,Unknow,Bachelor,0,96163,73,0,Corporate Auto,Unknow,350
ZG48513,California,Unknow,Bachelor,0,0,72,0,Personal Auto,Unknow,345
JQ59145,California,M,High School or Below,0,0,114,1,Personal Auto,Luxury,722
FE84989,Washington,M,College,0,72672,63,0,Personal Auto,Unknow,259
JT52858,Unknow,Unknow,Bachelor,0,99002,112,1,Personal Auto,Unknow,537
MC62068,Unknow,M,High School or Below,0,79494,91,0,Personal Auto,Unknow,396
EU27538,Unknow,M,Master,0,35704,225,0,Personal Auto,Luxury,358
RH42306,Unknow,Unknow,Bachelor,0,0,71,0,Corporate Auto,Unknow,653
US23612,Unknow,Unknow,High School or Below,0,26049,118,0,Personal Auto,Unknow,121
WV76014,Unknow,M,Doctor,0,70125,64,0,Special Auto,Unknow,92
RK96223,Unknow,M,College,0,52369,110,1,Personal Auto,Unknow,528
MF82000,Washington,F,Bachelor,0,0,66,2,Special Auto,Unknow,159
FM46980,Unknow,M,College,0,41770,72,0,Personal Auto,Unknow,476
SY56792,Unknow,M,High School or Below,0,0,101,0,Corporate Auto,Unknow,727
RF61565,Unknow,Unknow,College,0,31911,67,0,Personal Auto,Unknow,321
IM94808,Unknow,Unknow,Bachelor,0,70051,68,0,Corporate Auto,Unknow,42
VI14730,Unknow,Unknow,High School or Below,0,19683,117,1,Personal Auto,Luxury,561
YR34119,Washington,Unknow,College,0,30916,112,0,Personal Auto,Unknow,200
RR77985,Unknow,Unknow,Bachelor,0,0,80,0,Personal Auto,Unknow,676
QD28391,Unknow,Unknow,College,0,84302,62,0,Personal Auto,Unknow,76
WV17090,Unknow,Unknow,Bachelor,0,0,116,0,Corporate Auto,Unknow,830
TM23514,Unknow,Unknow,College,0,60145,132,0,Personal Auto,Unknow,580
MQ68407,Unknow,Unknow,Bachelor,0,63774,111,0,Personal Auto,Unknow,60
GJ59592,Unknow,Unknow,Bachelor,0,25134,67,0,Corporate Auto,Unknow,321
FY56083,Unknow,Unknow,Bachelor,0,37057,61,1,Personal Auto,Unknow,47
UA94723,Unknow,Unknow,High School or Below,0,58577,110,0,Personal Auto,Unknow,303
FW91032,Unknow,Unknow,High School or Below,0,85857,73,0,Corporate Auto,Unknow,100
DE34457,Unknow,Unknow,Doctor,0,70602,116,0,Personal Auto,Unknow,481
HD32044,Unknow,Unknow,Master,0,33816,106,2,Corporate Auto,Unknow,508
HH30454,Unknow,Unknow,Bachelor,0,0,153,0,Personal Auto,Unknow,1101
AH84063,Unknow,Unknow,College,0,89642,121,4,Corporate Auto,Unknow,86
QA17596,Unknow,Unknow,Bachelor,0,60068,98,0,Personal Auto,Unknow,470
XI41052,Unknow,Unknow,Bachelor,0,50044,139,0,Personal Auto,Unknow,667
DI30528,Unknow,Unknow,Master,0,36650,69,1,Personal Auto,Unknow,56
SC66359,Unknow,Unknow,College,0,50653,110,0,Corporate Auto,Unknow,262
EN61670,Unknow,Unknow,Doctor,0,68931,66,0,Personal Auto,Unknow,309
DQ10761,Unknow,Unknow,Bachelor,0,0,73,1,Corporate Auto,Unknow,350
BQ51587,Unknow,Unknow,College,0,0,73,0,Personal Auto,Unknow,365
JE21522,Unknow,Unknow,Bachelor,0,39266,80,0,Personal Auto,Unknow,384
WS47147,Unknow,Unknow,College,0,0,102,0,Personal Auto,Unknow,489
ZA64638,Unknow,Unknow,High School or Below,0,0,98,1,Personal Auto,Unknow,705
EW38459,Unknow,Unknow,Bachelor,0,40864,65,0,Corporate Auto,Unknow,9
QW87316,Unknow,Unknow,College,0,39035,68,0,Personal Auto,Unknow,244
